index,source,target,edge
2764,actors,personal makeup artists,have personal
2765,early  talkies,early  1930s,were
2766,phonorama,also film exposition,presented at
2767,meanwhile  innovations,significant  front,continued on
2769,de  forest,september,fallen
2770,these,sound hollywood studio,were
2771,patents,three  concerns,were cross
2772,these,sound motion date,were
2773,natural  sounds,settings,were
2774,film,warner bros,cost
2775,alfred  movie,london debut,had
2776,31 les trois masques,october,debuted
2777,year ardeshir irani,first persian language talkie,produced
2778,where  pyonsa,role,korea
2779,this,big  issue,left
2780,they,salary treatment,gave
2781,so  i,so  hesitation,quit
2782,moviehouse musicians,jobs,lost
2783,sixty hollywood musicals,1929,released in
2784,hollywood,larger  stage,ruled on
2785,this,music,achieved by
2786,hindustani heer ranjha,lahore,produced in
2787,talking  film,as singing book,is
2788,such  methods,popular  filmmaking,become standard
2789,when new year,new york,journey to
2790,kevin,normal  size,turns
2791,music,heitor pereira,composed by
2793,it,single day gross,holds
2794,elsewhere  poland,no new .,opened
2795,notable  openings,germany,witnessed in
2797,title,officially  may,revealed in
2798,it,kirill serebrennikov,directed by
2799,leto,soundtrack award,won
2800,tenaliraman,language satirical yuvaraj dhayalan,is
2801,that,time constraints,materialize because
2802,d. imman,music,composed
2803,singer krishnaraj,also  song,delivered
2805,so  catching,him,was
2806,youngster,camphor,was like
2807,he,bright  future,is sharp
2808,final  verdict,behindwoods,was
2809,other  destiny,other  options,goes
2810,however  cracks,operation,start
2811,other  strippers,strategies,begin
2812,meanwhile  ramona,new  hire,is busy
2813,later elizabeth visits who,retail  job,ramona
2814,stx entertainment,film,distributed
2816,it,really performance sequence,'s
2817,theatrical  trailer,online  september,premiered
2818,it,single stx history,was
2819,you,her,seen
2820,it,joint sony pictures television,is
2821,festival,2008,returned in
2822,film,august,released on
2823,pokiri,indian puri jagannadh,is
2824,soundtrack  score,mani sharma,composed by
2825,film,four nandi awards,won
2827,jagannadh,meanwhile  143,directed
2828,prakash raj,primary  antagonists,cast as
2829,out  action,film,wrote
2830,initially  i,seven month break,wanted
2831,film,telugu,was
2832,pokiri,several  films,parodied by several
2833,pokiri,indian puri jagannadh,is
2834,soundtrack  score,mani sharma,composed by
2835,film,four nandi awards,won
2837,jagannadh,meanwhile  143,directed
2838,prakash raj,primary  antagonists,cast as
2839,out  action,film,wrote
2840,initially  i,seven month break,wanted
2841,film,telugu,was
2842,pokiri,several  films,parodied by several
2843,space odyssey,epic stanley kubrick,is
2844,pitched audio signal,monolith,strikes
2845,one,jupiter,bound for
2846,only  hal,hibernating  this,told
2847,biographer vincent universe,biographer vincent lobrutto,was
2848,trumbull,special effects 2001,became
2849,clarke,novel,wrote
2850,script,many  stages,went through many
2851,colour processing,35 dye transfer process,done
2852,plans,rediscovered  footage,announced for
2853,set,38  diameter,was
2854,so  it,heightened heart rate,built
2855,i,him,going
2856,expansive  backdrops,african  screen,required
2857,kubrick,them,called
2858,boston review,it,called
2859,he,point,fear
2860,he,monster,compared to
2861,it,jump,'s
2862,space odyssey,most  films,regarded as
2863,i,script,loved
2864,recently  filmmakers,increasingly  video,used
2865,nikkatsu,roman porno line,responded by
2866,bed partner,roman porno series,was
2867,films,pink  audience,considered difficult
2869,19851987tabloid magazine you,19851987tabloid magazine girl,award for
2870,awards,least  1994,continued to
2871,it,extended  universe,is
2873,sivana,foster siblings hostage,calls
2874,billy  siblings,heroes,hailed as
2875,natalia safran,mrs,cast as
2877,who,him,sivana
2878,voices,darin de darin tatasciore,provided by
2879,new line cinema,warner bros,absorbed into
2880,film,2013  shazam,stated
2881,month coordinator kyle gardiner,action sequences,hired
2882,month mark strong,final  dr,was in final
2883,critical consensus reads,entertaining  humor,shazam
2884,superhero that,real  power,is
2885,nick allen,that,said
2886,film,french actresses amira casar,stars
2887,it,1983,is
2888,they,romantic  days,spend
2889,screenplay,late  2015,completed in late
2890,ivory,.,altered
2891,character,three  languages,is fluent
2892,michael who,father,stuhlbarg
2893,outdoor  scenes,december,shot on
2894,train station scenes,pizzighettone,filmed at
2895,i,intimately  director,been
2896,first  cut,film,ran
2897,sony pictures classics,.,acquired
2898,deal,independent film group,negotiated by
2899,it,thirty  locations,expanded from
2900,film,grossing sony pictures 2017,was
2901,it,hesitation,gets over
2902,when  oliver,novel,reunite
2903,dark  world,november,released on
2904,third  sequel,development,is in
2906,erik selvig,him,find
2907,adriana barraza,diner owner isabella alvarez,plays diner
2908,maximiliano hernández,s.h.i.e.l.d,plays
2909,i,job,got
2911,principal  photography,january,began on
2912,i,exciting  film,think
2913,later  footage,internet,leaked on
2914,promotional  partners,burger king,included
2915,that,rehearsal,was
2916,it,grossing  2011,was
2917,third  sequel,november,is due
2918,hadewijch,french bruno dumont,is
2919,fanatic novice herself,winter rain,is
2920,she,parisian  diplomat,becomes
2921,hammer film productions,british film production london,is
2922,musical  personnel,malcolm williamson,included
2923,someone,fact,been sick
2924,audrey field,10  october,reported on
2925,christopher lee,brutish  creature,cast as
2926,first  five,direct  original,were direct
2927,i,twenty  adjectives,think of
2928,i,point,see
2929,stories,contemporary england,set in
2930,kane,intensive  care,put in intensive
2931,creature,grenade,set ablaze
2932,alex garland,film,hired
2933,test shooting,already  st,done in
2934,adventure films,stock characters,contain
2935,carol,todd melodrama haynes,is
2936,film,cate blanchett,stars
2938,relationship,end,comes to
2940,you,always  role,needed
2941,proper  drafts,years,materialized
2942,haynes,screenplay,collaborated on
2943,berwin,executive  film,remained
2944,they,then  haynes,decided
2945,weinstein  company,.,acquired
2946,she,different head space,was in
2947,he,almost  it,'s
2948,intermediate  process,spoiled  palette,used
2949,this,masters,filmmaking
2950,it,edward hopper painting,seem like
2951,carol,180  theaters,expanded to
2952,carol,85 critic awards,received
2953,film critics circle,best  film,awarded
2954,lachman,technical achievement award,won
2955,film,soundtrack memory,dedicated to
2956,friend jon jon,him,goes
2957,she,then  911,cries for
2958,he,janitorial  job,offers
2959,they,situation,'re
2960,fight miguel,upper  hand,commences
2961,billy  maureen,her,says
2962,metro goldwyn mayer,film,picked
2963,principal  photography,june,began on
2964,it,originally  detroit,was
2965,it,entirely power chords,'s
2966,film,toronto,produced in
2967,it,kick ass film series,is
2968,longtime  crush,result,attempts
2969,boss frank he,boss frank d'amico,jailed
2970,son,different  approach,suggests
2971,dave,event,decides
2972,she,him,forgives
2973,kick  ass,frank hit mist,take
2974,they,other,knock
2975,then  they,face,edited
2976,then  producer,first  tony,changed
2977,why  you,that,do
2978,i,him,know
2979,he,idea,pitched
2980,he,then  synopsis,wrote
2981,today critic claudia puig,moretz,praised moretz
2982,avé,bulgarian konstantin bojanov,is
2983,most,invisible ultraviolet light,are
2984,color film,sensitive  layers,has
2985,eastman,film,became
2986,first picture film stock,1889,offered in
2987,film,photographic  film,was
2988,separate cine type films,1916,offered
2989,number,film gauges,made
2990,amateur,slowly  period,developed during
2991,film stock manufacturers,products,began
2992,manufacturer,negative  stock,offered
2993,first  films,light,darkened by
2994,new  rating,stock,is
2995,acetate  stock,also  deterioration,is
2996,release prints,then  dn,generated from
2998,they,senior  officer,briefed by
2999,day night day team,light  maoists,encounters with
3000,so  reports,that,came
3001,thus  it,details,was
3002,ary,him,replaced
3003,particular  style,script,used
3004,storyline,heroine,require
3005,ho liao,officially  cast,added to
3006,it,3  weeks,took
3007,soundtrack album,three  tracks,consists of
3008,police,deal,seals
3009,graham,story,runs
3010,post,white house,demands
3011,that,impeccably  film,'s
3012,it,good  movie,'s
3013,you,way,want
3014,star wars,epic george lucas,is
3015,obi wan,old  weapon,presents
3016,denis lawson,pilots wedge antilles,played
3017,alex mccrindle,general jan dodonna,portrays
3018,evazan,captain raymus antilles,portrays
3019,disney,also  film,turned
3020,we,westerns,had
3021,now  they,six million dollar man,have
3022,force,mystical energy field,introduced as
3023,it,poem,'s like
3025,george,right  that,going
3026,millennium falcon set,christian,was
3027,lot,actors,mind
3028,they,8  million,approved
3029,hirsch,two  reels,worked on
3030,film,result,was
3031,industrial  light,special  effects,struggling
3032,star wars,heavily kurosawa film,borrows
3033,poster,cinema billboards,used in
3034,producer gary kurtz,film,turned to
3035,charles lippincott,star wars,was
3036,it,theatrical video releases,see many
3037,40  theaters,film,ordered
3038,version,film,runs
3039,gross,prior  expansion,was
3040,soundtrack,united states national recording registry,added to
3041,half million half copies,february,sold
3042,script,e. jack kaplan,adapted by
3043,epic  films,large  scale,are
3044,similarly  films,historical  character,take
3045,biographical  films,lavish  genre,be
3046,titanic,epic james cameron,is
3048,rose,hypothermia,dies of
3049,i,shipwreck,wanted
3050,it,that,'s
3051,lifeboats,ten  percent,shrunken by
3052,15 boarding scenes,november,shot
3053,cameron,them,stated
3054,other  times,set,were
3055,when  i,genuinely  him,were
3056,god,it,damn
3057,one  eye,completely terminator eye,was
3058,person,poisoning,caught
3059,filming  schedule,days  160,intended
3060,you,me,going
3061,you,me,want
3062,you,me,going
3063,cameron,share,...
3064,films,initial  budget,went
3065,i,it,took
3066,other  scenes,similar  reasons,cut for similar
3068,this,positive media coverage,led to
3069,impact,men,credited
3070,it,elements,'s
3071,i,world,'m
3072,repeat rate,titanic,was
3073,ticket prices,late  1990s,were
3074,good  movies,few  years,come
3075,it,best  1997,named
3076,emotionally  aspects,film,praised
3077,he,it,see
3079,homes,dvd player,had
3080,titanic 3d version,$ 4k restoration,took
3081,fowler,2016,hired
3082,frank c. turner,crazy  carl,appears as crazy
3083,however  most,production team,remained unchanged
3084,2018  tika,june,cast
3085,jim carrey,villain,cast
3086,debs howard,elfina cast,joined
3087,visual  effects,industrial  light,provided by industrial
3088,film poster,film,is
3089,thriving film some,thriving film posters,become
3090,title card,movie title,displays
3091,bathory,historical juraj jakubisko,is
3092,witch,erzsebet,promises
3093,afterward  erzsebet,surreal  visions,begins
3094,film,essentially  genres,is
3095,first  appearance,6  march,planned for
3096,movie,vivek oberoi,was
3097,vivek oberoi,voice,lent
3098,this,rental  facilities,include rental
3099,each,state  borders,have
3100,this,commonly  paper,referred to
3101,elements,marketplace analytics,include
3102,crowdfunded  films,star trek star renegades,include
3103,poor performance records,public court documents,showing
3104,last  call,directorial greg garthe,is
3105,stars,van winkle,hansen
3106,plot,heavily  fountainhead,inspired by
3107,he,process,attacked in
3108,film,2  june,released on
3109,where patrick mother,teacher,school
3110,he,kodaikanal international kodaikanal school,attended
3111,guy,utmost  sincerity,looks
3112,acting  capabilities,lot,leave
3113,last  release,moksha,was ashok
3114,ka,aishwarya rai,rishta
3115,he,emotional  scenes,is subtle
3116,film,critical  acclaim,earned critical
3117,film,entirely  switzerland,shot in
3118,film,average box office,managed
3119,he,deep  baritone,has
3120,last  release,amitabh ek harivansh,was
3121,he,lead  role,played
3122,movie,entirely  london,shot
3123,this,wider  success,brought wider
3124,he,stealing  performance,gave
3125,taran  adarsh,performance,praised
3126,he,untamed  lion,'s like
3127,he,emotional  moments,handles
3128,majority,fans,considered
3130,body language,menacing  villain,creates
3131,aseem chhabra,interesting  film,considered rampal
3132,first  release,chitrangada singh,was
3134,he,rudra pratap singh,portrayed
3136,last  release,year,was
3137,it,successful bollywood time,was
3138,nineteen  shows,globe,occurred across
3139,it,shah rukh khan,set by
3140,lost,music culture,is
3141,where patrick mother,teacher,school
3142,he,kodaikanal international kodaikanal school,attended
3143,guy,utmost  sincerity,looks
3144,acting  capabilities,lot,leave
3145,last  release,moksha,was ashok
3146,ka,aishwarya rai,rishta
3147,he,emotional  scenes,is subtle
3148,film,critical  acclaim,earned critical
3149,film,entirely  switzerland,shot in
3150,film,average box office,managed
3151,he,deep  baritone,has
3152,last  release,amitabh ek harivansh,was
3153,he,lead  role,played
3154,movie,entirely  london,shot
3155,this,wider  success,brought wider
3156,he,stealing  performance,gave
3157,taran  adarsh,performance,praised
3158,he,untamed  lion,'s like
3159,he,emotional  moments,handles
3160,majority,fans,considered
3162,body language,menacing  villain,creates
3163,aseem chhabra,interesting  film,considered rampal
3164,first  release,chitrangada singh,was
3166,he,rudra pratap singh,portrayed
3168,last  release,year,was
3169,it,successful bollywood time,was
3170,nineteen  shows,globe,occurred across
3171,it,shah rukh khan,set by
3172,lost,music culture,is
3173,härmä,finnish jp siili,is
3174,it,logan miller,stars
3175,common fantasy subgenres,movies,are high
3176,high fantasy films,developed fantasy world,tend
3178,other  notables,genre,were
3180,animated  film,wonderland,is
3181,otherwise  1960s,entirely fantasy films,were
3182,once  musical,once  which,classic
3183,some,1977,consider
3184,highlander,scottish  swordsmen,released
3185,general,again  surrender,demands
3186,furious  xerxes,troops,orders
3187,greeks,sacrifice,mobilize
3188,certain  sequences,different  moods,desaturated
3189,art production blog,initial  site,were
3190,collision studios,warner bros,worked with
3191,tnt,three year deal,agreed to
3192,film,"$  456,068,181",grossed
3193,critics,still  film,were
3195,classical  sources,wrong  places,used
3196,they,biggest slave greece,were
3197,iranian  officials,film,condemned
3198,voice cast,octavia spencer,includes
3199,2017 harry collett,december,cast
3200,de  tour,voice cast,joined
3201,stack,thin  films,called
3202,everyday  example,frost,is
3203,molecular beam epitaxy,thermal  evaporation,is
3204,it,optical  media,used in optical
3205,nitrogen  gases,also  sputtering,used in
3206,electrohydrodynamic  deposition,thin film deposition,is
3208,thin gold that,ancient  india,leafs
3209,layers,reflective  systems,serve in
3210,flexible  batteries,plastic,made by
3211,film,cameras,is
3212,many 3d films,mm imax format,shown in
3214,ann irons mouth,face,sue
3215,taylor,.mw parser output,0;padding:0
3216,ma,may,released on
3217,first  trailer,february,released on
3218,anna,language french luc besson,is
3220,that,it,ruin
3221,film,personal  issues,says
3222,more  scripts,hensleigh,written by
3223,general ross,david banner,suspects
3224,electricity,own  transformation,hits
3225,turman,more  drafts,brought
3226,zak penn,then  it,rewrote
3227,$ 20 million,already script development,spent on
3228,france,final  credit,received final
3229,supervisor dennis muren,set,was on
3230,sound  design,skywalker sound,completed at
3232,frequent ang lee collaborator,original mychael film,was
3233,roger ebert,positive  review,gave
3234,dennis muren,special effects effects,nominated for best
3235,family film,slovenian director olmo omerzu,is
3236,film,prague,shot in
3237,family film,czech film awards,won
3238,score,harris jayaraj,composed by
3239,film,vikram krishna,produced by
3241,nayantara,female  lead,selected
3242,lyrics,pa,penned by
3243,sathyam,more  crown,is
3245,it,1964 cannes film festival,entered into
3246,kabaddi,romantic ram babu gurung,is
3247,film,nischal dayahang gurung,produced by
3248,california film institute,san rafael,is
3249,founder,current  cfi,is
3250,film center,"200,000  attendees",serves
3251,on  mira,him,serves
3252,lobo,then  money,fails at
3253,finally  characters,multiple  kali,revealed
3254,she,multiple personality disorder,suffering from multiple
3255,first  look,november,released on
3256,2012  filming,october,completed
3257,conversion,question,was out
3258,viy,two  storylines,is
3259,one,horror story,is
3260,immortal  story,cuts,screened without
3261,french  who,ukrainian  territories,traveler
3262,de beauplan,main  character,was
3263,it,1693,built in
3264,locals,story,take
3265,carriage,"$  75,000",cost
3266,second  carriage,interior  scenes,constructed
3267,she,200  costumes,made
3268,flemyng,soon  director,approved by
3269,stunts,fighting irzi kuba,choreographed by
3270,make artist petr who,vysotskiy,gorshenin
3271,film,real  3d,shot in real
3272,3d rfg_bts,3d effects,developed for
3273,reception,film,was mixed
3274,caliban,tracking laura,logan
3275,logan,body,escape with
3276,logan,xavier,passes
3277,additionally eriq salle,gabriela lopez,elise
3278,david kallaway alison fernandez,maria,appear as
3279,i,really  wolverine,'m
3280,'s,that,let
3281,i,references,used
3282,music,marco beltrami,composed by
3283,music,marco beltrami,composed by
3284,teaser,positive  reviews,met with positive
3285,it,very  yourself,'s
3286,hugh jackman,human  beings,is
3287,i,genuinely  guy,love
3288,it,right  time,feels like
3289,you,me,need
3290,it,imax  theaters,is
3291,logan,$ 105 million,projected
3292,top  openings,china,were in
3293,film,last vita film 1925,released in
3294,group,soon visitor center,proceed
3295,characterizations,novel,changed from
3296,two  scenes,book,excised
3297,parts,film sequels,included in
3298,jim carrey,also  role,auditioned for
3299,robin wright,role,turned
3300,christina ricci,also  role,auditioned for
3301,crew,warner bros,moved to
3302,jurassic park,finally  may,completed on
3303,john neufeld,alexander orchestrations,provided
3304,later  it,"2,404 theater locations",opened
3305,jurassic park,worldwide  time,became
3306,it,also  elckerlijc,known as
3307,hard  disk,capable  movie,is
3308,individual  who,the,preservationists
3309,established graduate programs,field,are
3310,multiple bar forms,multiple bar applicators,shown
3311,film applicators,astm standard d823,follow
3312,automatic film applicators,construction,vary in
3313,drawdown  process,astm standard d823,governed by
3314,this,common film applicator,is
3315,square  applicator,mentioned  applicators,is
3316,film,average box office,was
3317,music,r.,composed by
3318,songs,sirivennela seetharama sastry,penned by
3319,music,aditya music company,released by
3320,it,intellect ltd,published by
3321,editor,chief,is
3322,film critics association,american film critic 1975,is
3323,popular cinema chains,capitol cinema,include
3324,film industry,major  nigeria,became
3325,it,us,is
3326,popular cinema chains,capitol cinema,include
3327,film industry,major  nigeria,became
3328,it,us,is
3329,this,white blood cell differential,known as
3330,it,projected  film,apply to
3331,primary  characteristic,film format,is
3332,film format,exactly  size,be
3333,sortable  table,corresponding  numbers,shows
3334,it,1984 cannes film festival,entered into
3335,film,1994 cannes film festival,entered into
3336,however  films,760  millimetres,be
3337,120  film,several frame sizes,allows several
3338,general  word,commonly naming cameras,used in
3339,mostly kodak it,mostly kodak cameras,became
3340,bodied voigtländer perkeo,620 format camera,remains smaller
3341,iranian  films,persian  language,written
3342,iranian  cinema,many  ups,had many
3343,visual  arts,sassanian  reign,said
3344,popular  form,such  art,was
3345,consequently film theatre,photography public,destroyed by
3346,other cinema theatres,tehran,closed
3347,local feature film production,persistence,born
3348,masoud kimiai,kaiser,made
3350,100  features,1979,released
3351,farabi cinema foundation,disorganized  cinema,stepped
3352,year  government,financial  aid,began
3353,today iranian box office,iranian  films,dominated by commercial
3354,western  films,occasionally movie theaters,shown in
3355,contemporary hollywood productions,state television,shown on
3356,renowned  directors,iranian war cinema,involved in
3357,international animation festival,february,held in
3358,fereydoun hoveyda,them,was
3360,international film festival,april,opened in
3361,it,very  onset,intended
3362,festival,film video competitions,features international
3363,2006 akira kurosawa,2006  event,honored
3364,it,fourth  year,entering
3365,seminal film gaav,new  wave,considered
3366,here  censorship,rakhshan bani etemad,lady by
3367,important  panahi,important  film,says
3368,iranian  artists,release,demanded
3369,they,dvds  screenings,are
3370,we,separate  lives,lead
3371,i,it,refuse
3372,iranian  films,persian  language,written
3373,iranian  cinema,many  ups,had many
3374,visual  arts,sassanian  reign,said
3375,popular  form,such  art,was
3376,consequently film theatre,photography public,destroyed by
3377,other cinema theatres,tehran,closed
3378,local feature film production,persistence,born
3379,masoud kimiai,kaiser,made
3381,100  features,1979,released
3382,farabi cinema foundation,disorganized  cinema,stepped
3383,year  government,financial  aid,began
3384,today iranian box office,iranian  films,dominated by commercial
3385,western  films,occasionally movie theaters,shown in
3386,contemporary hollywood productions,state television,shown on
3387,renowned  directors,iranian war cinema,involved in
3388,international animation festival,february,held in
3389,fereydoun hoveyda,them,was
3391,international film festival,april,opened in
3392,it,very  onset,intended
3393,festival,film video competitions,features international
3394,2006 akira kurosawa,2006  event,honored
3395,it,fourth  year,entering
3396,seminal film gaav,new  wave,considered
3397,here  censorship,rakhshan bani etemad,lady by
3398,important  panahi,important  film,says
3399,iranian  artists,release,demanded
3400,they,dvds  screenings,are
3401,we,separate  lives,lead
3402,i,it,refuse
3403,battle royale,last  fukasaku,was
3404,battle royale,popular  culture,became
3405,noriko nakagawa,regularly  class,is
3406,shuya,uzi,wounded by
3407,he,oki,tatsumichi
3408,it,¥ 3.11 billion,went
3409,9 day run,popular  demand,extended
3410,son,kenta  conversion,oversaw
3411,dvd version,"5,000  copies",limited to
3412,seriously  you,seriously  what,do
3413,reporter,hubbub,noted
3414,new  line,yet remake rights,purchased
3415,battle royale phenomenon,especially  2010s,become
3417,examples,fate night irae,include
3418,surya,2004 haranath chakraborty,is
3419,film,telugu film aadi,was
3420,film,box office,was
3421,award ceremony,london,held in
3422,short daniel charlie,short louis taylor,is
3423,cut,youtube,released on
3424,this,dominated  state,mean
3425,ultimately  it,cinemas,shown at
3427,impact,genre,considered prolific
3428,he,strict baptist family,raised in
3429,he,chapin method,taught
3430,you,it,talk
3431,you,beat,lose
3432,jessica,singer group,was
3433,marriage,1970,ended in
3434,i,time,was
3435,i,dearly  him,loved
3437,impact,genre,considered prolific
3438,he,strict baptist family,raised in
3439,he,chapin method,taught
3440,you,it,talk
3441,you,beat,lose
3442,jessica,singer group,was
3443,marriage,1970,ended in
3444,i,time,was
3445,i,dearly  him,loved
3446,he,unarmed  combat,is
3447,he,bond,created
3448,then  one,him,help
3449,he,credible  character,is overweight
3450,connery,peter role,turned
3451,bond,definitely  seventies,set for
3452,so  you,humour,have
3453,viewers,dalton,taken with
3454,jay scott,globe,was
3455,lifejacket  craig,royal navy speedboat,arrived via
3456,daniel craig,bbc,agreed
3457,specifically  he,ian  fleming,is
3459,he,also  st,lived in
3460,he,still  bullying,was
3461,he,drama centre london,went
3462,j. l. carr,country,'s
3463,he,similar  roles,was
3464,it,mr,seem as
3465,film,favorable  reviews,received
3466,it,"$  414,211,549",went
3467,film,excellent  reviews,gathered
3468,deborah young,hollywood reporter,thought
3469,firth,reginald reggie turner,play
3470,shooting,september,began in
3471,filming,april,began in
3472,film,2007 london film festival,selected to
3473,they,two  sons,have
3474,family,now  chiswick,live in
3475,he,also  st,lived in
3476,he,still  bullying,was
3477,he,drama centre london,went
3478,j. l. carr,country,'s
3479,he,similar  roles,was
3480,it,mr,seem as
3481,film,favorable  reviews,received
3482,it,"$  414,211,549",went
3483,film,excellent  reviews,gathered
3484,deborah young,hollywood reporter,thought
3485,firth,reginald reggie turner,play
3486,shooting,september,began in
3487,filming,april,began in
3488,film,2007 london film festival,selected to
3489,they,two  sons,have
3490,family,now  chiswick,live in
3491,film,march,scheduled
3492,trailer,also toy story,shown with
3493,inversion,iranian behnam behzadi,is
3494,educational  films,classification,are exempt
3495,china,rating system,have
3496,it,new  law,was
3498,they,adult,accompanied by
3500,only level iii,restricted  government,is
3501,r rating,since  nc16,replaced by
3502,rating,2011,is
3503,distributors,legally age ratings,compelled
3504,unrated  film,informally  newspapers,denoted by
3505,age ratings,several  categories,divided into several
3506,educational  films,classification,are exempt
3507,china,rating system,have
3508,it,new  law,was
3510,they,adult,accompanied by
3512,only level iii,restricted  government,is
3513,r rating,since  nc16,replaced by
3514,rating,2011,is
3515,distributors,legally age ratings,compelled
3516,unrated  film,informally  newspapers,denoted by
3517,age ratings,several  categories,divided into several
3518,ali wong,undisclosed robert roles,cast in undisclosed
3519,production,late  2018,scheduled
3520,vanessa kirby,interest,expressed
3521,ali wong,also  cast,joined
3522,filming,april,expected
3523,jay cassidy jay schiff,editors,serve as
3524,squash,short lionel bailliu,is
3525,original music score,mark isham,composed by
3526,cast,vanessa redgrave,headed by
3527,film,positive  reviews,received
3528,results,romantic andrew bujalski,is
3530,results,deliberate  pace,moves
3531,name ollywood,words odia,is
3532,odisha,filmmaking,has
3533,it,laksmi talkies,released in
3534,this,landmark odia film industry,was
3535,first odia sita,first odia film,released
3536,it,ratikant odia padhi,was
3537,name,always odia film industry,be synonymous
3538,phoola chandana,ananda sankar,written by
3540,raja rani,paradeshi odia,made in
3541,tulasi apa,international  festivals,was
3542,name ollywood,words odia,is
3543,odisha,filmmaking,has
3544,it,laksmi talkies,released in
3545,this,landmark odia film industry,was
3546,first odia sita,first odia film,released
3547,it,ratikant odia padhi,was
3548,name,always odia film industry,be synonymous
3549,phoola chandana,ananda sankar,written by
3551,raja rani,paradeshi odia,made in
3552,tulasi apa,international  festivals,was
3553,break,italian gianluca maria tavarelli,is
3554,these,other  instalments,were
3555,films,young  audiences,are
3556,dvd examples,ass  swan,include
3557,el angel,true luis ortega,is
3559,window film,professional service companies,installed by professional
3560,silvered  film,same  end,employed to
3561,it,also window translucent,frosted
3562,applied mirror film,one way mirrors,create
3563,window film,stick  blinds,considered
3564,films,glass,are suitable
3565,amount,iridescence,vary from
3566,window tints,efficient  buildings,used in
3567,solar window film,critical  testing,is
3569,mystic  river,psychological clint eastwood,is
3570,film,robert lorenz,produced by
3571,film,critical  acclaim,opened to widespread
3572,two,still  marriage,are
3573,old daughter katie,secretly brendan harris,dating
3574,she,together las vegas,brendan
3575,pregnant  wife,recently  him,left
3576,soon  jimmy,it,becomes suspicious
3577,dave,local  bar,get
3578,it,prank,was
3579,jimmy,wife,goes to
3580,you,it,shake
3581,film,4  dec,released
3582,veteran composer ilaiyaraaja,music,scored
3583,auro,genetic  disorder,is
3584,he,mission,is
3585,day  media,school,tries
3586,vidya balan,only  role,was
3587,she,well  role,suited
3588,college,song  sequence,shown in
3589,film,also  taiping,shot in
3590,king,malaysian edward vii schools,was
3591,soundtrack,veteran composer ilaiyaraaja,scored by
3592,colonel wolodyjowski,historical jerzy hoffman,is
3593,cube,independent vincenzo natali,is
3594,film,toronto,shot in
3596,short,cube procure financing,helped
3597,cube,toronto soundstage,shot on
3598,it,cubical  shell,consists of
3599,side,outer  shell,is
3600,bloody  disgusting,movie,gave
3601,positive  review,weak  movie,hold
3602,however  film,2016,stalled
3603,things,german mia hansen løve,is
3604,things,critical  acclaim,received critical
3605,first film colorization methods,hand  individuals,done by
3606,technique,1991,patented in
3607,max,inventor,handschiegl
3608,result,technicians,judged
3609,movies,black,be
3611,law,national film registry,created
3612,colorization,sometimes documentary programmes,used on
3613,series,contemporary  footage,consists of colorized
3614,it,denzel  washington,stars denzel
3615,slavi,mccall,refuses
3616,mandy,then  rensen,murdered by
3617,song,also closing credits,plays over
3618,later  it,ultra  hd,released on ultra
3619,second  film,u.s . theaters,released in
3620,equalizer,2  .,released in
3621,she,also  photographs,posed nude
3622,same  sequence,several  cameras,filmed
3623,first  films,nudity,were
3624,most,films,lost
3625,silent horror film häxan,nude  scenes,contained nude
3626,however  code,1934,enforced until
3627,they,sensationalized exploitation films,were
3628,pubic  area,film,promises
3629,original,edited box office success,enjoyed
3630,however critic roger ebert,finally  promises,wrote
3631,she,nudie,does
3632,video  versions,nudity,cut
3633,nudity,various  forms,become
3634,movie critics,gratuitous  nudity,view gratuitous
3636,i,explicit  sex,were
3637,both,initially  .,banned in
3638,when  they,1968,rated
3641,male  genitals,various  scenes,shown in various
3642,film,african film director,directed by
3643,where  scenes,actual  nudity,are
3644,most,main  characters,are high
3645,it,cult classic,come
3646,she,brick,mentions
3647,johnson,detective films,grown
3648,2  dvd,september,released on
3649,stephen holden,new york times,commented
3650,it,initial batman film series,is
3651,warren skaaren,rewrites,did
3652,uncredited  drafts,mckeown  gems,done by
3653,batman returns,forever  june,released on
3654,batman,her,arrives
3655,producers,melniker,benjamin
3656,holden,1981,died in
3657,nine  rewrites,separate  writers,performed by
3658,burton,warner bros,pressured by
3659,kane,heavily  casting,questioned
3660,robin,hard  part,lobbied
3661,jack nicholson,1980,been
3662,robert wuhl,reporter alexander knox,cast as
3663,we,anything,was
3664,hell,pavement,erupted through
3665,18 sound stages,95 acre backlot,used
3667,jonathan gems,charles filming,rewrote
3668,they,darker  freedom,are
3669,screenwriter sam hamm,comic book miniseries,allowed screenwriter
3670,stories,graphic novel batman,collected in
3671,750 million 750 worth,merchandise,sold
3672,you,bat signal,turn
3673,gross,american  ranks,is
3674,also  vicki,batcave,hold innocent
3675,he,also  film,called
3676,now  everyone,dark superhero movie,wants
3677,executive  producers,melniker,benjamin
3678,superior court judge,lawsuit,rejected
3679,batman,ultra  hd,released on ultra
3680,he,phone,dave
3681,she,alligators,attempts
3682,biggest  star,silent  era,was
3683,it,score part effects,was
3684,john bip,british picture 1933,became
3685,1927 films act,up  renewal,was
3686,new  venture,initially denham studios,based at
3687,alberto cavalcanti,jennings,rotha
3688,portmanteau horror film,dead  night,is
3689,attitude,style,means
3690,style,attitude,means
3691,anderson,commercial film industry,was dismissive
